date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
4-Oct,1,0,0,,,,Ex: Jan01-02 is listed 1-Jan
5-Oct,1,0,0,,,,
6-Oct,1,0,0,,,,
7-Oct,1,0,0,,,,"Note: these folders have unnamed (as in no BG or Dark) pictures in addition to the BG, Dark, P12A, etc"
8-Oct,1,0,0,,,,
15-Oct,1,0,0,,,,
16-Oct,1,0,0,,,,
17-Oct,1,0,0,,,,
18-Oct,1,0,0,,,,
19-Oct,1,0,0,,,,
20-Oct,1,0,0,,,,
21-Oct,1,0,0,,,,
22-Oct,1,0,0,,,,
23-Oct,1,0,0,,,,
24-Oct,1,0,0,,,,
25-Oct,1,0,0,,,,
26-Oct,1,0,0,,,,
27-Oct,1,0,0,,,,
28-Oct,1,0,0,,,,
29-Oct,1,0,0,,,,
30-Oct,1,0,0,,,,
31-Oct,1,0,0,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
