date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
1-Oct,0,0,0,,,,Ex: Jan01-02 is listed 1-Jan
2-Oct,0,0,0,,,,
3-Oct,0,0,0,,,,
4-Oct,0,0,0,,,,
5-Oct,0,0,0,,,,
6-Oct,0,0,0,,,,
7-Oct,0,0,0,,,,
8-Oct,0,0,0,,,,
9-Oct,0,0,0,,,This month has no processed folders,
10-Oct,0,0,0,,,,
11-Oct,0,0,0,,,,
12-Oct,0,0,0,,,,
13-Oct,0,0,0,,,,
14-Oct,0,0,0,,,,
15-Oct,0,0,0,,,,
16-Oct,0,0,0,,,,
24-Oct,0,0,0,,,,
25-Oct,0,0,0,,,,
26-Oct,0,0,0,,,,
27-Oct,0,0,0,,,,
28-Oct,0,0,0,,,,
29-Oct,0,0,0,,,,
30-Oct,0,0,0,,,,
31-Oct,0,0,0,,,,
,,,,,,,
,,,,,,,
