date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
1-Jan,1,0,0,,,,Ex: Jan01-02 is listed 1-Jan
2-Jan,1,0,0,,,,
3-Jan,1,0,0,,,,
4-Jan,1,0,0,,,,
5-Jan,1,0,0,,,,
12-Jan,1,0,0,,,,
13-Jan,1,0,0,,,,
14-Jan,1,0,0,,,,
15-Jan,1,0,0,,,,
16-Jan,1,0,0,,,,
17-Jan,1,0,0,,,,
18-Jan,1,0,0,,,,
19-Jan,1,0,0,,,,
20-Jan,1,0,0,,,,
21-Jan,1,0,0,,,,
22-Jan,1,0,0,,,,
23-Jan,1,0,0,,,,
24-Jan,1,0,0,,,,
25-Jan,1,0,0,,,,
26-Jan,1,0,0,,,,
27-Jan,1,0,0,,,,
28-Jan,1,0,0,,,,
29-Jan,1,0,0,,,,
30-Jan,1,0,0,,,,
31-Jan,1,0,0,,,,
,,,,,,,
