date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
1-Jun,1,1,1,P12A,,,Ex: Jan01-02 is listed 1-Jan
7-Jun,1,1,1,P12A,,,
8-Jun,1,1,1,P12A,,,
9-Jun,1,0,0,,,,
10-Jun,1,0,0,,,,
11-Jun,1,0,0,,,,
12-Jun,1,1,1,P12A,,,
13-Jun,1,1,1,P12A,,,
14-Jun,1,1,1,P12A,,,
15-Jun,1,0,0,,,,
16-Jun,1,0,0,,,,
17-Jun,1,1,1,P12A,,,
18-Jun,1,1,1,P12A,,,
19-Jun,1,1,1,P12A,"TempOH is present, BG, P14A have ff",,
20-Jun,1,1,1,P12A,,,
21-Jun,1,1,1,P12A,,,
22-Jun,1,1,1,"BG, Dark, P12A, P14A",,,
23-Jun,1,1,1,P12A,,,
24-Jun,1,1,1,P12A,,,
25-Jun,1,1,1,P12A,,,
26-Jun,1,1,1,P12A,,,
27-Jun,1,1,1,P12A,,,
28-Jun,1,0,0,,,,
29-Jun,1,0,0,,,,
30-Jun,1,0,0,,,,
,,,,,,,
