date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
7-Jul,1,1,1,P12A,,,Ex: Jan01-02 is listed 1-Jan
8-Jul,1,1,1,P12A,,,
9-Jul,1,1,1,P12A,Pictures with label: AP12A present,,
10-Jul,1,1,1,P12A,,,
11-Jul,1,1,1,P12A,,,
12-Jul,1,1,1,P12A,,,
13-Jul,1,1,1,P12A,,,
14-Jul,1,1,1,P12A,,,
15-Jul,1,1,1,P12A,,,
16-Jul,1,1,1,P12A,,,
17-Jul,1,1,1,P12A,,,
18-Jul,1,1,1,P12A,,,
19-Jul,1,1,1,P12A,,,
20-Jul,1,1,1,P12A,,,
21-Jul,1,1,1,P12A,,,
22-Jul,1,1,1,P12A,,,
23-Jul,1,1,1,P12A,,,
24-Jul,1,1,1,P12A,,,
26-Jul,1,1,1,P12A,,,
27-Jul,1,1,1,P12A,,,
28-Jul,1,1,1,P12A,,,
29-Jul,1,1,1,P12A,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
