date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
2-Jul,1,0,0,,,,Ex: Jan01-02 is listed 1-Jan
3-Jul,1,0,0,,,,
4-Jul,1,0,0,,,,
5-Jul,1,0,0,,,,
6-Jul,1,0,0,,,,
7-Jul,1,1,1,P12A,This is the set Dominique did as a demonstration for me,,
8-Jul,1,0,0,,,,
9-Jul,1,0,0,,,,
20-Jul,1,0,0,,,,
30-Jul,1,0,0,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
