date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
1-May,1,1,1,P12A,,,Ex: Jan01-02 is listed 1-Jan
2-May,1,1,1,P12A,,,
3-May,1,1,1,P12A,,,
4-May,1,1,1,P12A,,,
5-May,1,1,1,P12A,,,
6-May,1,0,0,,,,
7-May,1,0,0,,,,
14-May,1,0,0,,,,
15-May,1,1,1,P12A,,,
16-May,1,1,1,P12A,,,
17-May,1,0,0,,,,
18-May,1,1,1,P12A,,,
19-May,1,1,1,P12A,,,
20-May,1,1,1,P12A,,,
21-May,1,1,1,P12A,,,
25-May,1,1,1,P12A,,,
26-May,1,1,1,P12A,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
