date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
13-Jun,1,1,1,P12A,,,Ex: Jan01-02 is listed 1-Jan
14-Jun,1,1,1,P12A,,,
15-Jun,1,1,1,P12A,,,
16-Jun,1,0,0,,,,
17-Jun,1,1,1,P12A,,,
18-Jun,1,1,1,P12A,,,
19-Jun,1,1,1,P12A,,,
20-Jun,1,0,0,,,,
21-Jun,1,0,0,,,,
22-Jun,1,0,0,,,,
23-Jun,0,0,0,,corresponding unprocessed folder doesn't exist,,
24-Jun,0,0,0,,corresponding unprocessed folder doesn't exist,,
25-Jun,1,0,0,,,,
26-Jun,1,1,1,P12A,,,
27-Jun,1,1,1,P12A,,,
28-Jun,1,1,1,P12A,,,
29-Jun,1,1,1,P12A,,,
30-Jun,1,1,1,P12A,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
