date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
1-Jul,1,1,1,P12A,"BG, P14, P12 all ff",,Ex: Jan01-02 is listed 1-Jan
2-Jul,1,0,0,,,,
3-Jul,1,1,1,P12A,"BG, P14, P12 all ff",,
4-Jul,1,0,0,,,,
5-Jul,1,1,1,P12A,"BG, P14, P12 all ff",,
6-Jul,1,1,1,P12A,"BG, P14, P12 all ff",,
7-Jul,1,1,1,P12A,"BG, P14, P12 all ff",,
8-Jul,1,0,0,,,,
9-Jul,1,0,0,,,,
10-Jul,1,0,0,,,,
11-Jul,1,1,1,P12A,"BG, P14, P12 all ff",,
12-Jul,1,0,0,,,,
13-Jul,1,0,0,,,,
14-Jul,1,1,1,P12A,,,
15-Jul,1,0,0,,,,
16-Jul,1,0,0,,,,
23-Jul,1,0,0,,,,
24-Jul,1,0,0,,,,
25-Jul,1,1,1,P12A,,,
26-Jul,1,1,1,P12A,,,
27-Jul,1,1,1,P12A,,,
28-Jul,1,1,1,P12A,,,
29-Jul,1,1,1,P12A,,,
,,,,,,,
,,,,,,,
,,,,,,,
