date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
1-Jun,1,0,0,,,,Ex: Jan01-02 is listed 1-Jan
3-Jun,0,0,0,,unprocessed files are there but no processing has been done,,
7-Jun,1,1,1,P12A,"BG, P14, P12 all ff, also, P12A has a set of pictures that have the label: srte",,
8-Jun,1,1,1,"BG, P12A, P14A",,,
10-Jun,1,1,1,"BG, P12A, P14A",P12A and P14A missing srff pictures,,
11-Jun,1,1,1,"BG, P12A, P14A",,,
13-Jun,1,0,0,,,,
14-Jun,1,0,0,,,,
15-Jun,1,1,1,"BG, P12A",,,
16-Jun,1,0,0,,,,
24-Jun,1,0,0,,,,
25-Jun,1,1,1,P12A,,,
26-Jun,1,1,1,P12A,,,
27-Jun,1,1,1,P12A,,,
28-Jun,1,1,1,P12A,,,
29-Jun,1,1,1,P12A,,,
30-Jun,1,1,1,P12A,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
