date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
1-Jun,1,1,1,P12A,,,Ex: Jan01-02 is listed 1-Jan
2-Jun,1,1,1,P12A,,,
3-Jun,1,1,1,P12A,,,
4-Jun,1,1,1,P12A,,,
5-Jun,1,1,1,P12A,,,
6-Jun,1,1,1,P12A,,,
7-Jun,1,1,1,P12A,,,
8-Jun,1,1,1,P12A,,,
9-Jun,1,1,1,P12A,,,
16-Jun,1,1,1,P12A,,,
17-Jun,1,1,1,P12A,,,
18-Jun,1,1,1,P12A,,,
19-Jun,1,1,1,P12A,,,
20-Jun,1,1,1,P12A,,,
21-Jun,1,1,1,P12A,,,
22-Jun,1,1,1,P12A,,,
23-Jun,1,1,1,P12A,,,
24-Jun,1,1,1,P12A,,,
25-Jun,1,1,1,P12A,,,
26-Jun,1,1,1,P12A,,,
27-Jun,1,1,1,P12A,,,
28-Jun,1,1,1,P12A,,,
29-Jun,1,1,1,P12A,,,
30-Jun,1,1,1,P12A,,,
,,,,,,,
,,,,,,,
