date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
1-Jul,1,1,1,P12A,,,Ex: Jan01-02 is listed 1-Jan
2-Jul,1,1,1,P12A,,,
3-Jul,1,1,1,P12A,,,
4-Jul,1,1,1,P12A,,,
5-Jul,1,1,1,P12A,,,
6-Jul,1,1,1,P12A,,,
7-Jul,1,1,1,P12A,,,
8-Jul,1,1,1,P12A,,,
9-Jul,1,1,1,P12A,,,
15-Jul,1,1,1,P12A,,,
16-Jul,1,1,1,P12A,,,
17-Jul,1,1,1,P12A,,,
18-Jul,1,1,1,P12A,,,
19-Jul,1,1,1,P12A,,,
20-Jul,1,1,1,P12A,,,
21-Jul,1,1,1,P12A,,,
22-Jul,1,1,1,P12A,,,
23-Jul,1,1,1,P12A,,,
24-Jul,1,1,1,P12A,,,
25-Jul,1,1,1,P12A,,,
26-Jul,1,1,1,P12A,,,
27-Jul,1,1,1,P12A,,,
28-Jul,1,1,1,P12A,,,
29-Jul,1,1,1,P12A,,,
30-Jul,1,1,1,P12A,,,
31-Jul,1,1,1,P12A,,,
