date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
1-May,1,1,1,P12A,,,Ex: Jan01-02 is listed 1-Jan
2-May,1,1,1,P12A,,,
3-May,1,1,1,P12A,,,
4-May,1,1,1,P12A,,,
5-May,1,1,1,P12A,,,
6-May,1,1,1,P12A,,,
7-May,1,1,1,P12A,,,
8-May,1,0,0,,,,
9-May,1,0,0,,,,
10-May,1,1,1,P12A,,,
11-May,1,1,1,P12A,,,
12-May,1,0,0,,,,
13-May,1,1,1,P12A,,,
14-May,1,1,1,P12A,,,
15-May,1,1,1,P12A,,,
16-May,1,0,0,,,,
17-May,1,0,0,,,,
29-May,1,1,1,P12A,,,
30-May,1,1,1,P12A,,,
31-May,1,1,1,P12A,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
