date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
1-Jun,1,1,1,P12A,,,Ex: Jan01-02 is listed 1-Jan
2-Jun,1,1,1,P12A,,,
3-Jun,1,1,1,P12A,,,
4-Jun,1,1,1,P12A,,,
5-Jun,1,0,0,,,,
6-Jun,1,0,0,,,,
7-Jun,1,0,0,,,,
8-Jun,1,0,0,,,,
9-Jun,1,0,0,,,,
10-Jun,1,0,0,,,,
11-Jun,1,0,0,,,,
12-Jun,1,0,0,,,,
13-Jun,1,0,0,,,,
14-Jun,1,0,0,,,,
15-Jun,1,1,1,P12A,,,
16-Jun,1,0,0,,,,
17-Jun,1,1,1,P12A,,,
18-Jun,1,0,0,,,,
19-Jun,1,1,1,P12A,,,
20-Jun,1,1,1,P12A,,,
26-Jun,1,0,0,,,,
27-Jun,1,0,0,,,,
28-Jun,1,1,1,P12A,,,
29-Jun,1,1,1,P12A,,,
30-Jun,1,1,1,P12A,,,
,,,,,,,
