date,start,end,interference?,sky condition,possible wave?,wave most likey?,Quality Wave,main wave type,note,,,Spreadsheet by Gabriel Decker
22-Apr,17,239,0,partial cloudy,1,1,0,"thick, fast columns",between 0017 and 0239,,,
23-Apr,23,221,0,clear,1,1,1,"squiggles: thin, fast",between 0023 and 0221,,,
24-Apr,21,383,0,clear,1,1,1,"thin, fast columns",between 0021 and 0383,,,
25-Apr,0,310,0,clear,1,1,1,"squiggles: thin, fast",between 0000 and 0310,,,
26-Apr,0,277,0,mostly clear,1,1,1,"thick, slow columns",between 0000 and 0278,,,
27-Apr,0,236,0,clear,1,1,0,"thin, slow columns",between 0000 and 0236,,,
28-Apr,0,215,0,clear,1,1,0,"thin, fast columns",between 0000 and 0216,,,
29-Apr,54,185,0,whispy clouds,1,1,0,"thin, fast columns",between 0054 and 0185,,,
30-Apr,0,161,0,clear,1,1,0,"squiggles: thin, fast",between 0000 and 0161,,,
1-May,0,128,0,clear,1,1,0,"thin, medium columns",between 0000 and 0129,,,
2-May,0,96,0,"glare, clear",1,1,0,"thin, fast columns",between 0000 and 0096,,,
9-May,16,102,0,clear,1,1,1,"squiggles: medium, fast",between 0016 and 0103,,,
10-May,,,0,cloudy,0,0,0,,,,,
11-May,24,186,0,whispy clouds,1,1,0,"thick, slow columns",between 0031 and 0186,,,
12-May,23,225,0,clear,1,1,0,"thin, fast columns",between 0023 and 0225,,,
13-May,20,263,0,clear,1,1,1,"medium, slow columns",between 0020 and 0263,,,
14-May,93,262,0,partial cloudy,1,1,0,"thick, slow columns",between 0076 and 0298,,,
15-May,23,398,0,clear,1,1,1,"thin, fast columns",between 0023 and 0398,,,
16-May,,,0,cloudy,1,1,0,"thin, slow columns",between 0014 and 0045,,,
17-May,18,393,0,clear,1,1,1,"squiggles: thin, fast",between 0018 and 0393,,,
18-May,,,0,partial cloudy,1,0,0,,throughout,,,
19-May,,,0,whispy clouds,1,1,0,"thin, fast columns",between 0197 and 0403,,,
20-May,19,340,0,partial cloudy,1,1,1,"thick, slow columns",between 0019 and 0340,,,
21-May,200,304,0,partial cloudy,1,1,0,"thin, fast columns",between 0196 and 0327,,,
22-May,289,366,0,partial cloudy,1,1,1,"squiggles: thin, fast",between 0284 and 0366,,,
23-May,21,227,0,whispy clouds,1,1,1,standing waves,between 0021 and 0227,,,
24-May,16,197,0,whispy clouds,1,1,1,standing waves,between 0021 and 0197,,,
25-May,213,307,0,cloudy,1,1,1,"squiggles: thin, fast",between 0213 and 0307,,,
26-May,0,216,0,partial cloudy,1,1,1,"squiggles: thin, fast",between 0000 and 0216,,,
27-May,0,43,0,partial cloudy,1,1,0,"squiggles: thin, fast",between 0000 and 0043,,,
28-May,,,0,cloudy,1,0,0,,,,,
29-May,78,179,0,"glare, clear",1,1,1,"thin, medium columns",between 0078 and 0179,,,
30-May,55,146,0,"glare, whispy clouds",1,1,1,"thin, fast columns",between 0053 and 0146,,,
31-May,0,112,0.2,"glare, clear",1,1,0,"medium, slow columns",between 0000 and 0112,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
